name,bestFitness,meanFit,meanTime,meanEvals
Genetic generational ordered,11.9,11.74,0.240702,1008.2
Genetic stationary ordered,11.9,11.54,0.234422,1000
Memetic ordered,11.9,11.9,0.232886,1019
Genetic generational unordered,11.9,11.54,0.248555,1013.4
Genetic stationary unordered,11.9,11.5,0.234494,1000
Memetic unoredered all,12,11.9,0.235667,1012.4
Memetic unoredered partial,11.9,11.64,0.246775,1007.4
Memetic unoredered partial upgraded,11.9,11.64,0.251006,1008.2
Greedy Search,13.6,13.6,0.00684612,1
Random Search,11.9,11.52,0.103784,1000
Local Search Early Stop,11.9,11.26,0.00835061,48.4
Local Search,11.9,11.9,0.267063,1000
