name,bestFitness,meanFit,meanTime,meanEvals
Genetic generational ordered,11.9,11.58,0.445179,2011.8
Genetic stationary ordered,11.9,11.46,0.346828,2000
Memetic ordered,11.9,11.74,0.408042,2000
Genetic generational unordered,11.9,11.64,0.464273,2008.8
Genetic stationary unordered,11.9,11.6,0.385438,2000
Memetic unoredered all,11.9,11.9,0.42783,2000
Memetic unoredered partial,11.9,11.66,0.42833,2000
Memetic unoredered partial upgraded,11.9,11.74,0.426702,2000
Greedy Search,13.3,13.3,0.0119771,1
Random Search,11.3,11.14,0.144756,2000
Local Search Early Stop,11.1,10.66,0.00455575,40.4
Local Search,11.9,11.9,0.424758,2000
